# character, uuid
ELECTRONIC VOICE-OVER, 1a47280e-f940-5f25-983d-4c88baaa5ba1
ELK RIDGE, 328697d2-cb82-5c08-9fda-7294ddebe9a3
ELON MUSK, 6fa01227-bbde-5c71-b463-b7ee5307c973
EMCEE, 80ed7088-cb63-5535-888a-1bf87ca40877
ENLISTMENT GUY, c26b3565-bdaa-5f1e-ab5d-1340a1fdb6cc
ERIC SAVIN, 49ec85ad-26a6-5910-bc42-7dc112d10ed5
ERIK SELVIG, 70744693-c93e-5cc1-98c0-55257e921ffc
ERIN, d3f9cbe8-563d-561e-b0ba-f43b57689aa5
EVERETT ROSS, a54178c5-b493-5b64-bc35-888bc360675b
EXPO ANNOUNCER, 79aa85e5-a8d4-5ff5-b94f-be3e65f0874c
FACELESS PILOT, aa761221-4e70-5001-a56a-522bdf7dfc35
FACILITY MANAGER, bf54938d-e9cd-5157-a336-e71309a1f4fb
FAMILIES, ea2f557d-a7b8-506c-be5f-cdb1d5ca9e82
FANDRAL, 73f80595-29bd-5852-bf6f-3bb971d31347
FATHER, ed87f095-e560-56e3-bae5-4b57e66742f8
FBI AGENT 1, b3a66504-c0fb-5f23-b6d3-a7d4459f8daf
FBI AGENT 2, 5b6099e1-885b-51c4-8ee5-4497870e76d0
FEMALE CARRIER BRIDGE TECH, b1fd3e9d-f894-5f30-a783-f65d4a1d417d
FEMALE CITIZEN, e678bf48-1464-5b15-afad-0e6db6f91102
FEMALE NURSE, cbf7cfc9-ea05-51bd-8a58-4bcff50486ca
FEMALE SHIELD AGENT, 53d9a54d-d18d-5910-b55f-230525ad5267
FEMALE WAR VETERAN, a6b188bd-0cdc-5a5b-bfe2-798a739a0c8a
FLASH THOMPSON, 36e78440-6dca-54a7-9308-9971272c94af
FORTRESS SOLDIER, 152725d5-8d55-5df0-9693-07990ed6060b
FRANK, 0a4421f6-cb4b-5347-a035-a4b389dde17b
FRENCH AMBASSADOR, 7b8118ee-1ebe-5608-989c-bdb826b24517
FRENCH PIRATE, b89416d5-caf4-5ac3-9a0c-09f23654dc14
FRENCH PIRATE #1, 0c41865e-4f30-531f-8446-5351c6bc4487
FRENCH PIRATE #2, 1178de75-0ab4-55d7-a357-42ec5d4e70b9
FRIDAY, 651e854f-1ddb-59e3-8f9c-75c874c44edc
FRIEND, 6931b0f6-0cbf-52c5-bec1-fde9f6c5a6a2
FRIGGA, f529073d-5470-54ad-be37-63e691299eb9
FRIGHTENED PILOT, bf0e9205-c2da-512a-be46-4ce83c13baac
FURY AND MARIA, 2f8e7a95-3003-5d3d-8e09-dae55ddb60dd
FURY'S CAR, 7af05137-b4f8-583a-99c5-c20027a3b49c
GABE JONES, 2d35e6cc-2416-55e8-b48d-3ac08999dcac
GALE, 3432c3c3-735b-5827-8b25-152f326bb95a
GAMORA, ccd7ce3f-a266-5f77-a59f-6cbcb71c09e0
GAMORA'S MOTHER, 04798a1b-1fe6-5e86-b9e9-4387c05b1101
GARY, 5e63bc03-85d1-57f3-90a6-7235179c75f5
GEF THE RAVAGER, e17a3a56-dc45-5528-b39e-a8c194d2d1d2
GENERAL, 6f021d27-8d0f-50bd-90c2-5c34939b1dae
